food	service	text
0	2	В соовторстве с Antonoff Решили отметить День рождения, компания 8 человек. За именинника полагается «бух» и пузырьки, возложили эту роль на бутылочку Асти. Не тут-то было. В 30 градусную жару принесли теплую… пытались ситуацию спасти, запросили ведро со льдом – «дудки», ведер нет, а лед, как оказалось еще та невидаль. Пришлось вернуться Асти на «склад». Что касается кухни. Суши понравились всем, удачно легли на настроение и погоду. Стейк «Портер хаус» именинник забраковал – «подошва». Обслуживание…. временно приостановлено. Официант явно прятался от нас, приходилось навязываться и буквально требовать внимания. Так мы и не поняли чем заслужили «игнор», сидели шумно, счет обещал быть кругленьким. Это вкратце. Были еще эпизоды, к середине вчера уже гуляла шутка, что «Дима (официант) как бы ни старался праздник нам не испортит». Не написали о пиве, хоть ресторан и пивной. Выходит пиво как пиво.
1	1	Были в данном заведении 8 июля 2012 года. Были с подругами с двумя детьми. Заказали в 15:10 - пасту и жареную картошку с грибами, ушли на пляж, пришли и сели за стол около 15:30. К нам НИКТО не подходил наверное минут 20! Сами пошли в бар купили напитки. Сидим ждем. Дети уже начали хныкать, что хотят кушать, мы выцепили официанта Романа, который клятвенно пообещал накормить наших детей - а пришли мы в это заведение только ради них, т.к. они захотели кушать. Прошло еще минут 15 - Роман испарился и где-то носился с чужими заказами. Мы снаряжали нашу главную активистку за права наших детей на еду два раза, оба раза она отчитывала Романа и требовала позвать повара, который не в состоянии вот уже больше часа приготовить 400 гр еды! facepalm... когда нам принесли многострадальческий заказ, было трудно не назвать эти порции "плевком", насколько были они скудны. Окей тут я ничего не скажу, я не заказывала, может быть у них там такой граммаж в меню, но они были оооочень маленькие - наелся разве что ребенок, но вы сами знаете сколько едят дети (2 года и 5 лет). Итог нашей поездки был печален, моему ребенку 2 года, ела она в основном картошку с грибами - понятно что она жаренная и с какими то специями, но пасту она отказалась есть наотрез, так что пришлось кормить картошкой. На следующий день у нее высыпала жутчайшая аллергия на голове и на шее - какие то красные пятна и коросты. Кроме жаренной картошки с грибами она ела за тот день только свежие детские йогурты и макароны - т.е. никаких аллергенов! В общем ребенок ел накануне, в день в Калипсо и на следующий день свою обыкновенную еду. И теперь скажите мне уважаемые -чем стесняюсь спросить посыпали эту гребанную картошку с грибами, если ребенок НЕ АЛЛЕРГИК покрылся такими коростами????
1	1	Отвратительное отношение к клиентам. половины меню не было в наличии. за более чем полтора часа не смогли приготовить и подать даже салаты, не говоря о горячих блюдах которые при заказе обещали сделать за 30 минут. официантка объяснила такую задержку нерасторопностью поваров, на просьбу позвать администратора или менеджера сказала, что таких должностей в ресторане нет. попросили жалобную книгу, последняя запись в которой была жуткой историей приготовления одного каппучино в течении часа :) пришлось отказаться от заказа. заплатили за напитки и поскорей убрались оттуда. официантка реагировала на данную ситуацию как на привычное,обыденное дело, не говоря уже о хотя бы устных извинениях. крайне не рекомендуем заведение! (чек от 12.11.2012 20.06 №10452 )
1	3	Ужасное кафе!!!!! Была просто поражена, что по такой стоимости бизнес-ланча еда словно в общепитовской столовой!!! Заказала оливье, оно оказалось без картошки с тремя кусочками колбаски, уха из консервированной рыбы, решила попробовать основное меню, заказала корбонару, которую прождала 40 мин, после чего мне принесли счет и очень удивились, что пасту оказывается мне еще не приносили, сославшись, что официант забыл передать по смене, и еще через 15 мин принесли холодную пересоленную пасту. В другой раз заказала лосось на пару (из основного меню), сливочный соус оказался обычным майонезным соусом с укропом. Просто супер обслуживание!!! Приходя на бизнес-ланч, первый вопрос, который задает основная масса клиентов :"Скажите чего уже нет?" Официанты действительно приветливые и доброжелательные и они наверняка не виноваты, что в этом заведении твориться такой бардак, но кухня просто ужас!!!! Во время бизнес-ланча персонал просто не справляется с потоком народа и все очень долго, на что видать абсолютно все-равно руководству заведения!!!! На ВО просто очень мало заведений, где можно поесть во время обеда и иногда приходится посещать это заведение.
0	0	Посмотрели описание и фотки - решили посетить вечерком это заведение. Зашли....прошлись по кругу и вышли=((( Во-первых, накурено, так, что нет никаких шансов распознать аромат пищи. Во-вторых, девушка бальзаковского возраста в костюме пионерки, фальшивенько орала в микрофон так, что приветственный диалог с администратором пришлось вести исключительно жестами. В-третьих, публика, сидящая в это время в "Углу" - без комментов, достаточно того, что это она то так и накурила, плюс они умудрялись без напряга перекрикивать пионерку...;-0 Мы туда не вернемся НИКОГДА!!!! похоже, совдепия для ностальгии хороша тока на фотках, при ближайшем рассмотрении совок остается, а ностальгия моментально испаряется....
0	1	Ну что же, наконец, дошли руки написать.. Я уже 4 года не живу в Петербурге и в Густо первый раз оказалась случайно год назад в компании своих москвичей, это был просто бизнес-ланч, деталей не помню, но все было очень вкусно и душевно (ввиду теплой компании), в общем, остались впечатления очень приятные. А тут как раз, уже теперь недавно, стали подыскивать ресторан для проведения свадебного мероприятия. Вспомнив про Густо, первым делом пошли сюда, это было 8 июня, встретил нас менеджер, кажется, Юрий, все рассказал, показал, хотя как потом выяснилось, не вся информация была верна, вроде договорились на второй этаж, размер депозита нас устраивает, но что с меню? Выясняется, что меню вот-вот буквально на днях должно поменяться на летний вариант, свадьба в сентябре, мы спросили, изменится ли еще меню к этому сроку, или все же банкетное меню не подразумевает такой явной сезонности, нам же нужен хотя бы приблизительный вариант, Юрий обещал все выяснить и отправить варианты меню по электронной почте, также был оставлен контактный телефон. С тех пор ни от Юрия, ни от кого-либо еще из сотрудников ресторана, я не получила ни строчки. При этом 12 июня, т.е. через пару дней после беседы с Юрием мы еще раз зашли в Густо, чтобы уточнить пару деталей, как оказалось не зря. Встретила нас менеджер - девушка, имени, к сожалению, я у нее не спросила, невысокого роста с русыми, средней длины волосами. Даже не предложив нам сесть (мы так несколько минут и простояли, разговаривая с ней, при том что она отвлекалась на всех входивших посетителей, и нам приходилось стоя ждать, когда она вернется к нам), она достаточно вольяжным тоном вела беседу, подтвердив, что Юрий обязательно в течение пары дней свяжется с нами, при этом в ходе обсуждения выяснилось, что, к примеру, условия Юрия по пробковому сбору не совпадают с условиями девушки, которая несколько раз повторила, что Густо - "гастрономический ресторан", поэтому пробковый сбор за бутылку любого крепкого алкоголя будет составлять не менее 4400 р. (эта сумма для виски - по цене бут. Джеймсон в Густо), хотя Юрий указывал, что пробковый сбор составит 1000-1500 р за бутылку, не уточняя вид алкоголя. Это, конечно, немного напрягло, но мы все же попросили выслать меню с алкоголем, указав, что компания, в целом, будет пьющая. Еще раз услышав, что в ближайшее время с нами свяжутся, мы ушли. Вот, прошло уже больше месяца, а я до сих пор жду обещанное меню) Точнее, конечно, уже не жду.. Странно видеть такое отношение к клиентам, даже от 10-кратно гастрономического ресторана, ведь я всегда думала, что банкет - это лучший способ ресторану заработать, тем более в сентябре в понедельник вечером! Но, видимо, Густо каждый день обслуживает как минимум пару банкетов, так что на нас у них просто не хватило времени. И последнее - даже не представляю увидеть такой сервис в подобном ресторане в Москве. И вряд ли кому-нибудь посоветую связываться с этим местом.
0	9	ой!была там всего раз,но мне понравилось.может,потому,что у меня там было свидание,или потому что у нас была очень забавная официантка(очень-очень)...не знаю..но было хорошо,душевно и вкусно.хотя в общем-то ничего заоблачного мы не ели- тыквенный суп,куриный суп и ризотто.пили имбирный чай простой.так о кухне что-то сложно сказать,но об атмосфере и персонале отзовусь положительно. интерьер простенький,но приятный. и вид на Большой нравится. загляну еще раз попробовать что-нибудь рыбное и винное)
0	10	Очень люблю местные мясные запеканки и доброго дядьку-швейцара. Здесь время замедляется. Хорошо
0	8	В Пену попадаю примерно раз в год и все время не по своей воле. Вот и в этот раз выдернули друзья, которые живут в этом районе. Идти туда нам не хотелось, особенно :)&#61514; Но в гардеробе сразу облом – мест нету. Класс! То, что надо! Тащим вещи на себе. Охрана не обыскивала, только попросила раскрыть сумку и зорким глазом глянула туда. Суровая администратор проводила нас к заказанному столу (депозит за стол на 8 чел – 5 тыс., на 10 – 8 тыс.). Народу – плюнуть некуда. Видимо за последний год место приобрело адскую популярность. Без предварительной брони попасть сложно, некоторые стоят на лестнице в ждут, пока освободятся столы (ваще жесть по-моему). Интерьерчик пообтрепался, диваны подпалили. Но музыка орет как и прежде. По еде ничего не заказывали, время было крайне позднее, за кухню ставить ничего не буду. Я бы вообще там, есть не решилась, Пена на кухню акцент явно не ставит. Коктейли некоторые ничего, вернее были бы ничего, если бы так много льда не добавляли. Как только лед немного подрастает, это уже запивон какой-то получается. С шотами, естественно, такое не прокатит, но их всего два вида. Пиво, честно говоря, не ахти, да и под конец вечера оно постепенно заканчивалось, так что остался только один вид. По остальному алкоголю – водка, шампанское, самбука претензий не было. Кальян еще брали на абсенте, ну фиг знает, яблоко было, абсента не чувствовалось, но понадеялись, что там он есть :) А вот обслуживание порадовало неожиданно. Парнишка – молодец, я даже удивилась, что относительно быстро все появлялось на нашем столе. Общительный улыбчивый. Контингент собирается, мягко скажем, разношерстный. Но, поскольку, у нас была довольно большая и буйная компания, нам было все равно :) Специально сюда не пойду, если только снова затащат.
2	4	Разочарована. Один плюс - хорошее расположение в городе. При входе официант предложил нам первый зал (у двери), хотя были свободные столики и в следующем, мы с другом согласились, о чем потом очень пожалели! дуло так, что пришлось накинуть верхнюю одежду! Официант был достаточно внимателен, учтив, но иногда навязчив. Кухня, увы, также оставляет желать лучшего! суши - не аппетитные, паста - с обычной лапшой, торты - на вкус порошковые, хотя надо отдать должное - чай и мороженое понравились. Надеюсь, сотрудники читают отзывы, и исправят ситуацию!
